# U=7.0   4x4x4  lattice   T=0.36  L=50   (dtau=0.055556)
#mu      rho     <sign>     D       safzz      safxx    AVE
-4.00   0.5437   0.9069   0.0201     0.625      0.618   0.622
-3.75   0.5803   0.8954   0.0235     0.684      0.678   0.681
-3.50   0.6153   0.8881   0.0272     0.743      0.743   0.743
-3.25   0.6486   0.8402   0.0308     0.800      0.824   0.812
-3.00   0.6812   0.8152   0.0343     0.874      0.873   0.874
-2.75   0.7138   0.7602   0.0381     0.972      0.981   0.977
-2.50   0.7475   0.6931   0.0420     1.10       1.06    1.08
-2.25   0.7816   0.6473   0.0461     1.23       1.20    1.21
-2.00   0.8170   0.5770   0.0511     1.43       1.42    1.42
-1.75   0.8491   0.5330   0.0557     1.72       1.80    1.76
-1.50   0.8824   0.5570   0.0616     2.20       2.01    2.10
-1.25   0.9122   0.5845   0.0668     2.93       2.95    2.94
-1.00   0.9399   0.6660   0.0719     3.65       3.97    3.81
-0.75   0.9624   0.8062   0.0763     4.82       5.11    4.97
-0.50   0.9793   0.9225   0.0801     4.75       5.86    5.30
-0.25   0.9913   0.9915   0.0833     7.17       6.27    6.72
-0.00   1.0000   1.0000   0.0871     5.99       6.64    6.31
